Estación,viento_promedio,ICAO,lat,lon
tartagal aero,6.208333333333333,SAST                                                                                                    ,-22.6196,-63.793701
jujuy aero,8.825000000000001,SASJ                                                                                                                                                                                                     ,-24.392799,-65.097801
salta aero,7.083333333333333,SASA                                                                                                    ,-24.8560009003,-65.4861984253
las lomitas,7.258333333333334,SATK                                                                                                    ,-24.7213993073,-60.5488014221
santiago del estero aero,9.091666666666669,SANE                                                                                                    ,-27.7655563354,-64.3099975586
formosa aero,12.883333333333336,SARF                                                                                                    ,-26.2127,-58.2281
corrientes aero,13.133333333333333,SARC                                                                                                    ,-27.4455,-58.7619
posadas aero,9.7,SARP                                                                                                    ,-27.3858,-55.9707
catamarca aero,16.941666666666666,SANC                                                                                                    ,-28.5956001282,-65.751701355
ceres aero,11.941666666666665,SANW                                                                                                    ,-29.872292,-61.927925
reconquista aero,12.591666666666669,SATR                                                                                                    ,-29.2103,-59.68
san juan aero,12.741666666666664,SANU                                                                                                    ,-31.571501,-68.418198
villa dolores aero,6.199999999999999,SAOD                                                                                                    ,-31.9451999664,-65.1463012695
sauce viejo aero,11.233333333333334,SAAV                                                                                                    ,-31.7117,-60.8117
concordia aero,9.3,SAAC                                                                                                    ,-31.2969,-57.9966
mendoza aero,6.525,SAME                                                                                                    ,-32.8316993713,-68.7929000854
san luis aero,17.158333333333335,SAOU                                                                                                    ,-33.2732009888,-66.3563995361
villa reynolds aero,11.383333333333333,SAOR                                                                                                    ,-33.7299003601,-65.3873977661
rosario aero,11.441666666666665,SAAR                                                                                                    ,-32.9036,-60.785
general pico aero,12.241666666666667,SAZG                                                                                                    ,-35.6962013245,-63.7583007812
laboulaye aero,10.608333333333333,SAOL                                                                                                    ,-34.1353988647,-63.3623008728
nueve de julio,9.708333333333334,SAZX                                                                                                    ,-35.3997,-60.9358
el palomar aero,10.616666666666664,SADP                                                                                                    ,-34.6099,-58.6126
ezeiza aero,12.316666666666668,SAEZ                                                                                                    ,-34.8222,-58.5358
aeroparque aero,15.891666666666666,SABE                                                                                                    ,-34.5592,-58.4156
la plata aero,12.608333333333333,SADL                                                                                                    ,-34.9722,-57.8947
punta indio b.a.,16.65,SAAI                                                                                                    ,-35.353298,-57.290001
tandil aero,13.316666666666668,SAZT                                                                                                    ,-37.234634,-59.228647
dolores aero,9.608333333333333,SAZD                                                                                                    ,-36.3225,-57.7214
tres arroyos,13.875,SAZH                                                                                                    ,-38.3869,-60.3297
mar del plata aero,14.116666666666664,SAZM                                                                                                    ,-37.9342,-57.5733
bariloche aero,19.866666666666667,SAZS                                                                                                    ,-41.151199,-71.157501
maquinchao,9.433333333333334,SAVQ                                                                                                    ,-41.2430992126,-68.7078018188
esquel aero,18.40833333333333,SAVE                                                                                                    ,-42.908000946,-71.139503479
trelew aero,20.45833333333333,SAVT                                                                                                    ,-43.2105,-65.2703
comodoro rivadavia aero,22.05,SAVC                                                                                                    ,-45.7853,-67.4655
base esperanza,26.25,SAYE                                                                                                    ,-63.400002,-56.983299
base orcadas,24.0,SAYO                                                                                                    ,-60.738473,-44.735655
base marambio,30.1,SAWB                                                                                                    ,-64.238297,-56.630798
